,loss,MAP,precision@1,precision@5,precision@10,recall@1,recall@5,recall@10,learnig rate,Number of Epochs,nh,nv
0,0.23405371697153896,0.16989299284455792,0.2544701986754967,0.2194039735099338,0.1947019867549669,0.02187145781917695,0.08854349521103762,0.15302833401144608,0.001,30,8,2
1,0.5051863652421161,0.12451918376866604,0.19105960264900662,0.16874172185430464,0.15152317880794702,0.01388176524969157,0.05941528547746976,0.10363557740679585,0.0001,30,8,2
2,0.22295039200689643,0.17079406551057288,0.24370860927152319,0.21903973509933775,0.19872516556291395,0.020443351069360953,0.08969450943014257,0.15608104331015119,0.001,30,8,4
3,0.48314989514183254,0.13306479917845954,0.20894039735099337,0.18158940397350998,0.1637086092715232,0.015225139573681129,0.0633662966441652,0.11204198320937381,0.0001,30,8,4
4,0.21549075681250543,0.17182662160712275,0.2594370860927152,0.21970198675496688,0.1970860927152318,0.022262323992683453,0.0895230262433588,0.15543993803426295,0.001,30,8,8
5,0.4677402434404939,0.1365414008598687,0.2097682119205298,0.18473509933774837,0.16806291390728478,0.015276298906043196,0.06552441141335029,0.11522346219482753,0.0001,30,8,8
6,0.2299053335795179,0.17008159937990286,0.2513245033112583,0.21672185430463575,0.19498344370860932,0.02096296573104723,0.08832442175653595,0.15498271564960978,0.001,30,16,2
7,0.49975821524858477,0.12436499643214725,0.18658940397350993,0.1652317880794702,0.15274834437086096,0.013258379400825688,0.05813469506904745,0.10395673571812401,0.0001,30,16,2
8,0.2198499333579093,0.17443142651071475,0.2662251655629139,0.22158940397350996,0.19993377483443708,0.022576796920413807,0.09014973555805521,0.15868282785402654,0.001,30,16,4
9,0.47520143159199507,0.13409461263103686,0.2054635761589404,0.18019867549668875,0.16387417218543046,0.014867857134418587,0.06405259347853734,0.11296806108087415,0.0001,30,16,4
10,0.21423803179059178,0.1720602623883238,0.24850993377483444,0.22049668874172187,0.19869205298013248,0.020567289326144572,0.09072246682888818,0.15706012534244304,0.001,30,16,8
11,0.45723597884643824,0.13918435152670247,0.2140728476821192,0.18973509933774835,0.17028145695364238,0.01539671435455869,0.06715525787134316,0.11774108212051308,0.0001,30,16,8
12,0.22270688628777863,0.1723493932946448,0.25,0.22162251655629137,0.19794701986754965,0.02105244992157201,0.08963664246120082,0.15627846779839866,0.001,30,32,2
13,0.5142179925227538,0.12136765960091717,0.1900662251655629,0.16321192052980132,0.14730132450331127,0.013704030443942443,0.056728381583713926,0.10007372813344034,0.0001,30,32,2
14,0.21725568443071097,0.1720146011423956,0.25149006622516556,0.21917218543046357,0.19715231788079474,0.02183695051787333,0.08884903625030345,0.15526851457484495,0.001,30,32,4
15,0.4738969359081239,0.13511583917851128,0.2120860927152318,0.18533112582781455,0.16536423841059603,0.015277612554217635,0.06572732810554734,0.11266177455772457,0.0001,30,32,4
16,0.2116913074743934,0.17140294995098065,0.2435430463576159,0.21947019867549675,0.1978476821192053,0.020611944159374243,0.0909483934962031,0.15666995097936823,0.001,30,32,8
17,0.44747225237078964,0.14365707270110611,0.22533112582781456,0.1922185430463576,0.1740397350993378,0.01675855876781205,0.06880145350355517,0.12156253968669438,0.0001,30,32,8
18,0.21622391981072725,0.17038897945355502,0.24817880794701988,0.21711920529801326,0.19501655629139075,0.0214638401366882,0.08997339016097822,0.15485601188759604,0.001,50,8,2
19,0.41680899157654494,0.1500681388138399,0.22698675496688742,0.2006953642384106,0.18139072847682117,0.017458524563630454,0.07504562301497941,0.1326005824907476,0.0001,50,8,2
20,,0.005952180594213324,0.0,0.00456953642384106,0.0035596026490066226,0.0,0.0004498735823478888,0.0007590387865454375,0.001,50,8,4
21,0.40648062627296894,0.1525439374901349,0.22350993377483444,0.2053973509933775,0.18349337748344371,0.017300318440576067,0.07767124649485627,0.13305107945158515,0.0001,50,8,4
22,,0.005952180594213324,0.0,0.00456953642384106,0.0035596026490066226,0.0,0.0004498735823478888,0.0007590387865454375,0.001,50,8,8
23,0.3864468474173918,0.15811183419191893,0.23791390728476822,0.21228476821192055,0.1888576158940398,0.018877548966532,0.08050115868790787,0.1375577290076965,0.0001,50,8,8
24,0.21333877636352555,0.17041785435212267,0.2423841059602649,0.2165562913907285,0.19597682119205298,0.021081188105700793,0.09074328468521536,0.157532645303196,0.001,50,16,2
25,0.42624194009695204,0.1459719615037256,0.2205298013245033,0.19791390728476824,0.1765728476821192,0.016213795184434623,0.07358526296755685,0.12698809247027157,0.0001,50,16,2
26,0.20444518354488536,0.17239674462932159,0.25364238410596024,0.2203311258278146,0.19758278145695365,0.022119080001965285,0.0902988279220814,0.1553579347683448,0.001,50,16,4
27,0.40048566057812424,0.15599378545250836,0.2367549668874172,0.20672185430463577,0.18751655629139072,0.01820872273546824,0.07780447893263845,0.13842660127215625,0.0001,50,16,4
28,0.19887455435236917,0.17207356766726647,0.2587748344370861,0.21913907284768214,0.1980463576158941,0.022321808583104955,0.09094617985731031,0.15668533425852885,0.001,50,16,8
29,0.3691010783659294,0.1650444336247315,0.25231788079470197,0.21960264900662252,0.1961092715231788,0.020256401028764706,0.08441838770243705,0.1453719345872619,0.0001,50,16,8
30,0.20813602178823204,0.17159660344321742,0.2445364238410596,0.2194039735099338,0.19597682119205298,0.02104139473283145,0.09025695070669362,0.15725754764139668,0.001,50,32,2
31,0.40230266358703376,0.1541186245434674,0.2283112582781457,0.2063245033112583,0.18567880794701988,0.016925406880695763,0.07716046830160575,0.13477521986197982,0.0001,50,32,2
32,0.2022276799660176,0.17216305259479192,0.24006622516556292,0.2197682119205298,0.1977814569536424,0.020931392320123997,0.0911474055321512,0.1569603853923359,0.001,50,32,4
33,0.395611738646403,0.15522542542418474,0.23609271523178807,0.20764900662251656,0.18600993377483444,0.018091312839915368,0.07862807423750173,0.13658983827728993,0.0001,50,32,4
34,0.19558800735976548,0.17157655984708944,0.25165562913907286,0.22006622516556296,0.19662251655629143,0.021476081605256103,0.09035339493424112,0.1566334166549308,0.001,50,32,8
35,0.37304864074103533,0.16374647377977952,0.24403973509933774,0.2190728476821192,0.1955132450331126,0.01920899074410972,0.08386810820328187,0.14480958722448067,0.0001,50,32,8
36,,0.005952180594213324,0.0,0.00456953642384106,0.0035596026490066226,0.0,0.0004498735823478888,0.0007590387865454375,0.001,70,8,2
37,0.36874619803857056,0.16188530723334668,0.24817880794701988,0.21165562913907288,0.19081125827814568,0.019897739533732375,0.0834793049683444,0.1434225715315057,0.0001,70,8,2
38,0.20060836656484754,0.17134896890202544,0.24602649006622518,0.21963576158940398,0.19566225165562917,0.020806426643584022,0.09086520582370976,0.15741804561064696,0.001,70,8,4
39,0.34843620941974224,0.1648901990547195,0.24701986754966887,0.21711920529801326,0.1962748344370861,0.020172311077483854,0.08344966637710108,0.14609532647090356,0.0001,70,8,4
40,0.19346382236108184,0.16978050876637166,0.2456953642384106,0.2202980132450331,0.19731788079470203,0.020465219171126058,0.08993856351834596,0.1553118873149447,0.001,70,8,8
41,0.3263471384067088,0.17209084944046796,0.2678807947019868,0.22612582781456958,0.20481788079470198,0.021831120490695695,0.08700651993010539,0.15387127319276395,0.0001,70,8,8
42,0.20515071124536916,0.1728945761348951,0.25165562913907286,0.21947019867549666,0.1974503311258278,0.0221327724977345,0.09058244124437961,0.15628804884127243,0.001,70,16,2
43,0.36645034709945323,0.16182055520599847,0.24966887417218542,0.21473509933774834,0.19178807947019869,0.019860483671381456,0.08313829347206159,0.14341596626613334,0.0001,70,16,2
44,0.19908755978103726,0.17143250475571237,0.23973509933774834,0.22175496688741722,0.19875827814569536,0.020524660196595466,0.09081779484686982,0.15694228509183203,0.001,70,16,4
45,0.34322470079641787,0.16833434729697933,0.2576158940397351,0.22254966887417219,0.19961920529801325,0.020498529582865077,0.0860062501482748,0.1501213137905874,0.0001,70,16,4
46,0.1935283311177045,0.17169215197583404,0.24503311258278146,0.22026490066225168,0.19801324503311257,0.021630064037270483,0.09160183430528032,0.15849818940937646,0.001,70,16,8
47,0.32729464846197515,0.16901534040610877,0.25695364238410595,0.22172185430463576,0.20142384105960262,0.020267631252040313,0.08663286171527335,0.15198719593833762,0.0001,70,16,8
48,0.1997578526032157,0.17334646638637755,0.25248344370860926,0.2227814569536424,0.20013245033112587,0.021194140782635252,0.09162077524270833,0.15779772615060297,0.001,70,32,2
49,0.35340156564489006,0.16595554615175576,0.2552980132450331,0.22096026490066223,0.19715231788079474,0.020296916002555745,0.08583154255915504,0.14706073862791172,0.0001,70,32,2
50,,0.005952180594213324,0.0,0.00456953642384106,0.0035596026490066226,0.0,0.0004498735823478888,0.0007590387865454375,0.001,70,32,4
51,0.33758400704246017,0.16967119448465776,0.25811258278145693,0.22529801324503315,0.20142384105960262,0.020880464790927724,0.08781288595607406,0.15136146359305733,0.0001,70,32,4
52,,0.005952180594213324,0.0,0.00456953642384106,0.0035596026490066226,0.0,0.0004498735823478888,0.0007590387865454375,0.001,70,32,8
53,0.3307680813362822,0.16858580725444586,0.25182119205298015,0.22350993377483444,0.20104304635761588,0.019824942880872474,0.08645359469516602,0.15085035150282192,0.0001,70,32,8
